dimension,level,orders,avg_score,bad_rate,late_rate,avg_delivery_days
Sellers in order,1,94302,4.174397149583254,0.12323174481983415,0.081026913533117,12.542793896205808
Sellers in order,2,1199,2.8807339449541285,0.4662218515429525,0.014178482068390326,9.157531739412473
Sellers in order,3,59,2.23728813559322,0.6440677966101694,0.0,8.379931732580038
Items in order,1,86061,4.214499018138297,0.11243187971322667,0.081918639104821,12.580864670924628
Items in order,2,7300,3.6876712328767125,0.25424657534246575,0.06506849315068493,11.750176369863015
Items in order,3,1281,3.5362997658079625,0.29117876658860264,0.06088992974238876,11.521406886980657
Items in order,4,485,3.3608247422680413,0.3463917525773196,0.05360824742268041,12.073970504009164
Items in order,5,433,3.3625866050808315,0.3348729792147806,0.06697459584295612,11.944495765973825
Distance band,<50 km,11644,4.282892476812092,0.10142562693232567,0.06423909309515631,6.1173268182945915
Distance band,50-200,12793,4.28695380286094,0.10036738841553974,0.06073634018603924,7.986028654993617
Distance band,200-500,29947,4.155541456573279,0.13089791965806258,0.07326276421678299,12.06146896554283
Distance band,500-1000,25524,4.114284594891083,0.13383482212819306,0.08333333333333333,14.25287428281008
Distance band,1000-2000,9638,4.053330566507574,0.1483710313343017,0.10520854949159576,17.87765190161629
Distance band,2000+ km,5538,3.973817262549657,0.16793066088840736,0.13488624052004333,21.078101425504595
Freight ratio quintile,"(-0.001, 0.115]",19112,4.203955629970699,0.12348262871494349,0.08104855588112181,11.448275152899864
Freight ratio quintile,"(0.115, 0.183]",19112,4.1780033486814565,0.12290707408957723,0.07853704478861448,11.967058726919678
Freight ratio quintile,"(0.183, 0.274]",19112,4.164922561741315,0.12348262871494349,0.07503139388865634,12.269502908294964
Freight ratio quintile,"(0.274, 0.435]",19122,4.127235644807029,0.13471394205627027,0.08299341073109508,13.053585202907646
Freight ratio quintile,"(0.435, 3.0]",19102,4.110721390430322,0.1346979373887551,0.08308030572714899,13.750685246745542
Payment type,boleto,19013,4.1566822700257715,0.12549308367958764,0.08783463945721348,13.434076063453661
Payment type,credit_card,72126,4.15647616670826,0.12856667498544214,0.07855696974738652,12.28775185477883
Payment type,debit_card,1475,4.243389830508475,0.10983050847457627,0.07864406779661016,10.748994821092278
Payment type,voucher,2946,4.127630685675492,0.1347589952477936,0.06992532247114731,12.471690663423097
Installments,0,2,5.0,0.0,0.0,7.180902777777778
Installments,1,46412,4.1901663362923385,0.11897785055589072,0.07842799276049298,12.164688056608922
Installments,2,11929,4.172017771816582,0.12230698298264733,0.07846424679352837,12.054252009575173
Installments,3,10026,4.117993217634151,0.13664472371833233,0.08148813085976461,12.53754973180841
Installments,4,6804,4.119929453262786,0.1318342151675485,0.08127572016460906,13.095543062904174
Installments,5,5025,4.128358208955224,0.13850746268656716,0.08318407960199005,12.78534286898839
Installments,6,3749,4.148306214990664,0.13390237396639104,0.08002133902373966,13.394026740464124
Installments,7,11613,4.079221562042538,0.15258761732541118,0.08559373116335142,13.486929100050709
Cross-state shipment,Different state,61168,4.095801726392885,0.14123397855087627,0.0913222600052315,15.078317752383237
Cross-state shipment,Same state,34392,4.265759478948593,0.1040648988136776,0.0602465689695278,7.908068918643871
