dimension,segment,leads_won,activation_rate,avg_orders,avg_score,avg_late_rate,gmv
Business segment,watches,8,0.25,283.5,4.058318264014467,0.168625678119349,116095.9
Business segment,health_beauty,93,0.4731182795698925,15.568181818181818,4.574032206836769,0.04859467556379781,88510.81
Business segment,household_utilities,71,0.6197183098591549,11.090909090909092,4.507704077668443,0.05321597957509711,51130.72
Business segment,audio_video_electronics,64,0.484375,7.806451612903226,4.113861302096597,0.05148790699075329,49648.5
Business segment,small_appliances,12,0.5833333333333334,9.714285714285714,4.563098221744839,0.023391812865497075,47794.77
Business segment,home_decor,105,0.4095238095238095,7.813953488372093,4.367461558871431,0.1406306991236624,42674.36
Business segment,pet,30,0.5666666666666667,14.352941176470589,4.4031758928863285,0.048913132504463774,40741.03
Business segment,construction_tools_house_garden,69,0.463768115942029,8.21875,4.3245999660062155,0.13383271820771822,31948.55
Business segment,car_accessories,77,0.38961038961038963,4.866666666666666,4.042521666786373,0.06837098087098087,30032.48
Business segment,home_appliances,7,0.7142857142857143,26.6,4.033459119496856,0.01710691823899371,26182.68
Business segment,sports_leisure,25,0.52,12.538461538461538,4.696113109708817,0.01606894397592072,15280.82
Business segment,bed_bath_table,22,0.4090909090909091,17.444444444444443,4.170004391743522,0.07357390328404821,15217.43
Business segment,baby,10,0.6,6.666666666666667,4.452777777777778,0.0,14240.949999999999
Business segment,bags_backpacks,22,0.6363636363636364,9.428571428571429,4.623014573014573,0.0440695797838655,13843.8
Business segment,computers,34,0.35294117647058826,8.833333333333334,4.455757168458781,0.012410394265232974,11772.29
Business segment,food_supplement,28,0.2857142857142857,10.0,4.643939393939394,0.05025252525252526,10189.05
Business segment,home_office_furniture,14,0.21428571428571427,24.333333333333332,3.3874458874458875,0.09523809523809523,9900.56
Business segment,stationery,13,0.5384615384615384,7.857142857142857,4.4532967032967035,0.07362637362637363,8096.360000000001
Business segment,fashion_accessories,19,0.3157894736842105,9.166666666666666,4.45436507936508,0.003968253968253968,7632.98
Business segment,books,9,0.4444444444444444,25.25,4.551957831325302,0.20582329317269074,6957.99
Business segment,music_instruments,9,0.4444444444444444,5.75,4.215277777777778,0.08333333333333333,5739.65
Business segment,toys,20,0.5,10.9,4.050326797385621,0.04635854341736695,5395.18
Business segment,phone_mobile,13,0.38461538461538464,9.2,3.487241379310345,0.034482758620689655,4197.389999999999
Business segment,food_drink,26,0.34615384615384615,4.444444444444445,4.4912155745489075,0.1388888888888889,3732.92
Business segment,air_conditioning,3,0.6666666666666666,2.0,5.0,0.0,2650.0
Business segment,gifts,5,0.6,2.3333333333333335,4.444444444444445,0.0,1011.27
Business segment,handcrafted,12,0.25,3.3333333333333335,5.0,0.0,875.9
Business segment,games_consoles,2,0.5,2.0,4.5,0.0,657.0
Business segment,party,5,0.2,3.0,4.333333333333333,0.0,388.98
Business segment,jewerly,8,0.0,,,,0.0
Business segment,other,3,0.0,,,,0.0
Business segment,perfume,2,0.0,,,,0.0
Business segment,religious,1,0.0,,,,0.0
Business segment,,1,0.0,,,,0.0
Lead origin,unknown,179,0.44692737430167595,15.55,4.34871850298656,0.08166194981793486,209913.09
Lead origin,organic_search,271,0.4095940959409594,10.477477477477477,4.412739999775533,0.0565633147663128,203372.61
Lead origin,paid_search,195,0.5076923076923077,12.171717171717171,4.34129645367574,0.07118958038953674,149895.22999999998
Lead origin,social,75,0.41333333333333333,12.451612903225806,4.418242555721333,0.07734389737785324,43580.41
Lead origin,direct_traffic,56,0.5535714285714286,6.064516129032258,4.313095937735157,0.05858097995194769,21892.9
Lead origin,referral,24,0.375,7.444444444444445,4.4683760683760685,0.027777777777777776,16608.239999999998
Lead origin,email,15,0.4,3.5,4.622222222222223,0.0,8335.49
Lead origin,other,4,0.5,43.0,4.13125,0.14583333333333331,6776.75
Lead origin,,14,0.2857142857142857,2.75,4.020833333333334,0.25,1242.6000000000001
Lead origin,display,6,0.3333333333333333,3.5,4.25,0.08333333333333333,923.0
Lead origin,other_publicities,3,0.0,,,,0.0
