model,feature,importance,std
post_hoc (includes realised delivery),n_items,0.06037018819344013,0.0050465955252198295
post_hoc (includes realised delivery),delay_days,0.04090008327198482,0.0013643967570361344
post_hoc (includes realised delivery),seller_prior_score,0.03750023356016694,0.004611008351106399
post_hoc (includes realised delivery),delivery_days,0.010799744267187838,0.002918368843322024
post_hoc (includes realised delivery),main_category,0.01055957434749517,0.0033380379649102284
post_hoc (includes realised delivery),handling_days,0.002986160158746176,0.0006676343038324223
post_hoc (includes realised delivery),n_sellers,0.002452833302814783,0.00029835664540741203
post_hoc (includes realised delivery),seller_prior_late_rate,0.001165823358757101,0.0007419789136247292
post_hoc (includes realised delivery),promised_days,0.001080441547052735,9.327333261542465e-05
post_hoc (includes realised delivery),distance_km,0.0009585387105734533,0.000570476834536159
post_hoc (includes realised delivery),customer_state,0.0009419715093965886,0.0008393211639861779
post_hoc (includes realised delivery),freight_ratio,0.0008434246896141361,0.0007624433735588035
post_hoc (includes realised delivery),seller_prior_orders,0.0008335217385346594,0.0005635978050007197
post_hoc (includes realised delivery),item_total,0.0005864540085775527,0.0009886997222499593
post_hoc (includes realised delivery),avg_weight_g,0.00027636396023373867,0.0006833996425906238
post_hoc (includes realised delivery),freight_total,0.00023159047622609564,0.0004043557398246413
post_hoc (includes realised delivery),purchase_hour,0.00020986938069809114,7.781272566567243e-05
post_hoc (includes realised delivery),payment_type,0.00015292741199139924,5.904035045288077e-05
post_hoc (includes realised delivery),purchase_dow,0.00012136564809519523,0.00022854865206922158
post_hoc (includes realised delivery),transit_days,7.24036517585347e-07,0.00034226696708406905
post_hoc (includes realised delivery),n_categories,0.0,0.0
post_hoc (includes realised delivery),installments,-0.0002791822529151222,0.00018571295158654693
post_hoc (includes realised delivery),avg_description_length,-0.00031831136622109126,0.0007752732664570066
post_hoc (includes realised delivery),avg_photos,-0.0003515781193361489,0.0002557487174683549
post_hoc (includes realised delivery),seller_state,-0.000435706491477883,0.0006074494064971962
at_risk (checkout-time features only),seller_prior_score,0.03396620353242628,0.0033023979166468534
at_risk (checkout-time features only),n_items,0.033430167378558084,0.0030560110896825483
at_risk (checkout-time features only),main_category,0.013937072351334345,0.0008080858665550659
at_risk (checkout-time features only),customer_state,0.008490690603158236,0.0011095118329056037
at_risk (checkout-time features only),promised_days,0.007062477967490976,0.0001950411287334653
at_risk (checkout-time features only),n_sellers,0.00674501520320987,0.00023051457743485416
at_risk (checkout-time features only),seller_prior_orders,0.0046324790636666615,0.002928542366726759
at_risk (checkout-time features only),seller_prior_late_rate,0.0024616618771261976,0.002075766971905875
at_risk (checkout-time features only),avg_weight_g,0.0012716183290545136,0.0006997439310388651
at_risk (checkout-time features only),seller_state,0.0012198847520711765,0.0021032977865316754
at_risk (checkout-time features only),freight_total,0.0010267694206836041,0.0024475685563729627
at_risk (checkout-time features only),purchase_hour,0.0007069710547328301,0.0006482339489364435
at_risk (checkout-time features only),item_total,0.00042268940483887186,0.0010441647735171691
at_risk (checkout-time features only),n_categories,-2.2079221117277113e-05,9.453337940157938e-07
at_risk (checkout-time features only),installments,-2.685941920126389e-05,0.0004831553044475193
at_risk (checkout-time features only),avg_photos,-0.000266289731698488,0.0004362474526101818
at_risk (checkout-time features only),avg_description_length,-0.0004105209201398452,0.0013686880979833394
at_risk (checkout-time features only),payment_type,-0.00041755886650443055,8.108644211498652e-05
at_risk (checkout-time features only),freight_ratio,-0.0004944702294868098,0.00028393086305882265
at_risk (checkout-time features only),distance_km,-0.0007668792375599587,0.0010394358968547524
at_risk (checkout-time features only),purchase_dow,-0.0007822552818853134,0.0006526831205002163
