term,z,n_bad,n_good,gloss
recebi,41.39687324101366,2992.0,1428.0,I received
comprei,35.73838365705466,1778.0,567.0,I bought
agora,22.67395948890599,666.0,158.0,
pedido,19.94735750888946,746.0,370.0,order
apenas,19.684104936979736,525.0,148.0,only
veio,19.22603635986763,1366.0,1111.0,came
contato,18.6223185391493,450.0,53.0,contact
dois,18.36115735182923,443.0,111.0,
aguardando,18.095143136876146,421.0,53.0,waiting
dia,17.61478221821475,623.0,331.0,
momento,16.998727779645822,365.0,67.0,
estou,16.38722238556107,916.0,712.0,
paguei,16.254640658822403,335.0,49.0,
fiz,15.953869416704082,379.0,134.0,
aguardo,15.429939099887214,306.0,39.0,
diferente,15.35502772520399,305.0,70.0,different
receber,15.036134772608055,311.0,91.0,
duas,14.89462670777631,299.0,82.0,
hoje,14.650841179469898,272.0,52.0,
errado,14.643360369961604,271.0,49.0,wrong
saber,14.5967937937566,269.0,45.0,
resposta,14.476203482017546,329.0,19.0,reply
pedi,14.457455422408314,291.0,88.0,
troca,14.378971574450267,265.0,57.0,
retorno,14.310188841896474,302.0,21.0,
falta,13.908788183840919,258.0,68.0,
devolução,13.80945162470564,250.0,28.0,return
fiscal,13.484922231450463,251.0,74.0,invoice
nenhuma,13.254273654430452,222.0,36.0,
somente,13.20078202837882,246.0,77.0,
faltando,13.184261859646066,220.0,34.0,
dinheiro,13.1573350791194,307.0,13.0,money
defeito,13.099014285735256,247.0,81.0,defect
gostaria,12.874824699841424,232.0,71.0,
devolver,12.029483932676321,185.0,25.0,to return
demora,11.688662534899237,201.0,69.0,
mês,11.59708218483559,172.0,36.0,
sendo,11.502289070389812,192.0,64.0,
preciso,11.476001661214712,199.0,72.0,
ninguém,11.414487920620015,176.0,17.0,nobody
unidades,11.353164538446526,169.0,19.0,units
volta,11.33965255597667,185.0,14.0,
solicitei,11.310404895528155,164.0,35.0,
consigo,11.229573739226733,180.0,14.0,
esperando,11.170693495178487,158.0,29.0,waiting
depois,11.14416981870045,215.0,96.0,
entregaram,11.113952222520545,266.0,150.0,they delivered
email,10.853380491351574,149.0,24.0,
enviaram,10.764239655800989,147.0,22.0,
cancelamento,10.75048599236077,150.0,18.0,cancellation
consta,10.71975812515286,149.0,18.0,
ruim,10.713485861693888,150.0,36.0,bad
tive,10.711676103893145,374.0,282.0,
mail,10.371298922900582,136.0,23.0,
atraso,10.30240256793041,174.0,72.0,delay
valor,10.119155708871066,208.0,111.0,
satisfação,9.90416622197831,142.0,47.0,
kit,9.819088056119748,147.0,54.0,
correios,9.746782972826383,328.0,255.0,postal service
estoque,9.668425987190474,119.0,17.0,
pago,9.614262588153636,117.0,21.0,
péssima,9.578310017598506,182.0,6.0,
entregar,9.52830517561357,160.0,73.0,
totalmente,9.427150925565625,130.0,44.0,
quebrado,9.379401332078178,112.0,16.0,broken
resolver,9.340530995190065,111.0,16.0,
péssimo,9.302057371822904,146.0,7.0,terrible
fazer,9.249165486290503,203.0,124.0,
respeito,9.248887380799237,115.0,31.0,
nunca,9.163041341385043,205.0,128.0,never
obtive,9.119483952999316,112.0,11.0,
infelizmente,9.114748812993597,115.0,34.0,
mandaram,9.109307607117984,105.0,17.0,
cartão,9.061416545564748,109.0,28.0,
reclamação,9.052605141211867,105.0,14.0,
targaryen,8.909666475853143,166.0,91.0,
passou,8.90195676525814,118.0,8.0,
problema,8.882615005203165,301.0,246.0,
chegar,8.865467153842937,182.0,109.0,to arrive
seja,8.818803557569948,120.0,45.0,
deram,8.616925891959397,94.0,15.0,
quase,8.598783128097512,126.0,55.0,
comprado,8.56280659747422,158.0,89.0,bought
itens,8.555737485711443,98.0,26.0,
correio,8.453342324603694,170.0,104.0,
cancelar,8.427358685606155,107.0,7.0,to cancel
entrei,8.382538777731504,89.0,14.0,
presente,8.38028850882453,176.0,112.0,
unidade,8.346961523273745,104.0,7.0,unit
inferior,8.340346624250275,88.0,15.0,
entrar,8.276144693637743,110.0,6.0,
modelo,8.266166084819437,103.0,37.0,
item,8.243520310262564,88.0,20.0,
mercadoria,8.165183036035227,257.0,211.0,
cor,8.106946116257793,202.0,147.0,
mandei,8.08002401221255,87.0,9.0,
faz,8.035808654403406,111.0,49.0,
