customer_state,orders,avg_score,bad_rate,late_rate,avg_delivery_days,avg_handling_days,avg_transit_days,avg_delay_days,gmv,avg_order_value,avg_freight_ratio,excess_detractors,gmv_exposure,sar_share
RJ,12172,3.9644265527440026,0.18353598422609269,0.133338810384489,15.229259320115384,2.914543919542777,11.971889833680214,-11.037453273907328,1726549.98,165.77299375616167,0.31570009024660084,677.7264964420261,96132.81867215333,0.5595246839687591
BA,3226,3.929944203347799,0.17048977061376316,0.13732176069435834,19.24404555865537,2.858830800139762,15.955380975752567,-10.171496564372804,489945.16,181.84487290762556,0.384888589826696,137.5338216827124,20887.796115854922,0.1215738566907643
CE,1267,3.935280189423836,0.17363851617995266,0.15311760063141278,21.176886016837674,2.8688435578722267,17.902932342366043,-9.98492830833991,217122.65,207.86974743488557,0.42860834221592775,58.0053788195898,9940.238013862043,0.05785546091442637
PA,929,3.9041980624327235,0.18191603875134554,0.11948331539289558,23.62481087788542,2.9682089529682023,20.195621785671573,-13.403479697404617,169878.32,222.30391819160388,0.46465176360694493,50.22099204688155,9183.4852073817,0.05345091020284886
MA,709,3.8307475317348376,0.2002820874471086,0.19322990126939352,21.46421897038082,3.0027827666028095,17.938417763673407,-8.795954787650839,115803.47,206.1691114245416,0.5371508617457662,51.349497697781494,8387.0945220876,0.048815653974437434
AL,393,3.8575063613231553,0.21119592875318066,0.2340966921119593,24.435185185185183,3.0033508283347614,20.98498374328527,-8.077420836867402,77358.94,235.45282442748092,0.4679663719708507,32.752260359983254,6447.02326730871,0.03752379994684433
PE,1573,4.080737444373808,0.14812460267005723,0.10680228862047043,18.373073832732924,2.8348635257923736,15.144567175248994,-12.546118086458996,248963.49,194.1094659885569,0.434180974854091,31.881184596065317,5045.931965906333,0.029368986861605762
SE,331,3.900302114803625,0.1903323262839879,0.1510574018126888,21.35669268210809,2.9431990881458967,18.01089711312521,-9.20957116482041,55388.94,207.83785498489428,0.4642705214214765,20.679384679782334,3460.450747025326,0.02014096369338706
PI,470,3.9936170212765956,0.16170212765957448,0.1595744680851064,19.477609338061466,2.786280597552196,16.310849586288416,-10.556666666666667,83731.31,221.22117021276594,0.5059315556980335,15.907283382168277,2833.90994921315,0.016494289781900682
ES,1966,4.08087487283825,0.13784333672431331,0.1190233977619532,15.595531324177687,2.957923256546903,12.249321097547192,-9.939566731660449,256383.5,154.84334181078333,0.3457211344549463,19.633444956048532,2560.3719912965757,0.014902208726016018
PB,511,4.074363992172211,0.1487279843444227,0.10763209393346379,20.212691617742987,2.9883987740225315,16.71220509893455,-12.758114535768646,110830.12,265.8827005870841,0.5012515239201025,10.665152783591457,2313.1510035690317,0.013463301109040387
GO,1939,4.102630221763796,0.1330582774626096,0.07993811242908716,15.563368503237637,2.66492307467741,12.43710854678815,-11.422070010314595,278374.44,169.66949458483757,0.34253159283948814,10.085579740477186,1447.9461641726057,0.008427523826960591
SC,3510,4.133618233618233,0.12962962962962962,0.09658119658119659,14.870091999050333,2.8804573533191955,11.588182368871152,-10.80562262583096,496904.46,166.3620113960114,0.33068049103705766,6.222478024277915,880.9051517138703,0.005127158273597249
DF,2064,4.1390503875969,0.1308139534883721,0.07122093023255814,12.932425239556418,2.7613930041152264,9.809139144595177,-11.258999851959517,294389.87,166.45664244186048,0.3340207406991365,6.103474257011323,870.543116797437,0.005066847815712277
MS,699,4.163090128755365,0.13304721030042918,0.11587982832618025,15.626112700683516,2.748735190521934,12.460940232077572,-10.32878516928946,115190.17,191.7965236051502,0.3370050079225414,3.6280661364587665,597.8791917452481,0.0034798539191242856
AC,80,4.0875,0.15,0.0375,21.03568576388889,2.9754779942279943,17.556571180555558,-20.077395833333334,15930.97,244.69162500000002,0.5102566472390571,1.771452490581833,352.7619560485558,0.0020531908322318237
RN,467,4.143468950749464,0.13062098501070663,0.10706638115631692,19.186133416607188,3.0275970113280306,15.744887580299785,-12.787238282179395,80891.99,212.40548179871521,0.49563843911012956,1.2908539137714463,223.5968776964897,0.0013014075115824056
RR,40,3.9,0.15,0.125,29.90763888888889,3.4169337606837606,26.21015625,-15.564027777777778,7017.7699999999995,224.2625,0.5972810473365153,0.8857262452909165,155.39557681038085,0.0009044534655900752
AM,144,4.243055555555555,0.13194444444444445,0.041666666666666664,26.352613811728396,2.523149766899767,23.438122106481483,-18.878915895061727,22085.85,190.9025,0.5050927735517508,0.5886144830473006,90.27813319729322,0.0005254484851710378
MT,878,4.145785876993166,0.1275626423690205,0.06605922551252848,17.977904328018223,2.633581176773529,14.843270690964312,-13.726520975702353,151093.1,204.7746810933941,0.37581346630122436,-0.25830891586436844,0.0,0.0
PR,4880,4.24016393442623,0.10881147540983606,0.04938524590163934,11.953653802367942,2.777160429540142,8.78402464708561,-12.553862278005465,662110.74,159.19357991803278,0.334587499703746,-92.9413980745082,0.0,0.0
MG,11251,4.194293840547507,0.11687849968891655,0.05528397475779931,11.963093836103456,2.8326985129068465,8.77386809321992,-12.491696725723147,1535483.09,159.91756377210913,0.31615729116588986,-123.51735035579735,0.0,0.0
RO,242,4.1652892561983474,0.11983471074380166,0.028925619834710745,19.373456152433427,2.3064517058552325,16.51971131772268,-19.385413797061524,45654.86,235.1940082644628,0.5782592447418078,-1.9413562159899531,0.0,0.0
